Version;SupportBegin;SupportEnd
4.0.77;2025-11-12T00:00:00;2027-02-11T00:00:00
4.0.78;2025-11-12T00:00:00;2027-02-11T00:00:00
4.0.79;2025-11-17T00:00:00;2027-02-16T00:00:00
4.0.80;2025-11-22T00:00:00;2027-02-21T00:00:00
4.0.81;2025-11-25T00:00:00;2027-02-24T00:00:00
4.0.82;2025-12-05T00:00:00;2027-03-06T00:00:00
4.0.83;2025-12-05T00:00:00;2027-03-06T00:00:00
4.0.84;2025-12-06T00:00:00;2027-03-07T00:00:00
4.0.85;2025-12-06T00:00:00;2027-03-07T00:00:00
4.0.86;2025-12-06T00:00:00;2027-03-07T00:00:00
4.0.87;2025-12-06T00:00:00;2027-03-07T00:00:00
4.0.88;2025-12-14T00:00:00;2027-03-15T00:00:00
4.0.89;2025-12-14T00:00:00;2027-03-15T00:00:00
4.0.90;2025-12-16T00:00:00;2027-03-17T00:00:00
4.0.91;2025-12-16T00:00:00;2027-03-17T00:00:00
4.0.92;2025-12-18T00:00:00;2027-03-19T00:00:00
4.0.93;2025-12-18T00:00:00;2027-03-19T00:00:00
4.0.94;2025-12-18T00:00:00;2027-03-19T00:00:00
4.0.95;2025-12-18T00:00:00;2027-03-19T00:00:00
4.0.96;2025-12-18T00:00:00;2027-03-19T00:00:00
4.0.97;2025-12-19T00:00:00;2027-03-20T00:00:00
4.1.0;2025-12-20T00:00:00;2027-03-21T00:00:00
4.1.1;2025-12-20T00:00:00;2027-03-21T00:00:00
4.1.2;2025-12-20T00:00:00;2027-03-21T00:00:00
4.1.3;2025-12-20T00:00:00;2027-03-21T00:00:00
4.1.4;2025-12-20T00:00:00;2027-03-21T00:00:00
4.1.5;2025-12-20T00:00:00;2027-03-21T00:00:00
4.1.6;2025-12-20T00:00:00;2027-03-21T00:00:00
4.1.7;2025-12-21T00:00:00;2027-03-22T00:00:00
4.1.8;2025-12-21T00:00:00;2027-03-22T00:00:00
4.1.9;2025-12-21T00:00:00;2027-03-22T00:00:00
4.1.10;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.0;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.1;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.2;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.3;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.4;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.5;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.6;2025-12-22T00:00:00;2027-03-23T00:00:00
4.2.7;2025-12-23T00:00:00;2027-03-24T00:00:00
4.2.8;2025-12-23T00:00:00;2027-03-24T00:00:00
4.2.9;2025-12-24T00:00:00;2027-03-25T00:00:00
4.2.10;2025-12-26T00:00:00;2027-03-27T00:00:00
4.2.11;2025-12-26T00:00:00;2027-03-27T00:00:00
4.2.12;2025-12-26T00:00:00;2027-03-27T00:00:00
4.2.13;2025-12-28T00:00:00;2027-03-29T00:00:00
4.2.14;2025-12-30T00:00:00;2027-03-31T00:00:00
4.2.15;2025-12-30T00:00:00;2027-03-31T00:00:00
4.2.16;2026-01-01T00:00:00;2027-04-02T00:00:00
